match_id,possession,num_events,team,possession_team,ends_with_shot,duration,num_passes,num_carries,num_dribbles,num_duels,num_players,pressure_events,num_miscontrols,num_dispossessed,start_x,start_y,end_x,end_y,progression,num_turnovers,pass_ratio,progression_rate
3912592,100,7,Manchester United W,Aston Villa W,0,7.748245000000001,1.0,1.0,0.0,1.0,3,2.0,1.0,0.0,2.7,12.6,47.7,65.1,45.0,1.0,0.14285714285714285,5.807766791060427
3912592,101,8,Aston Villa W,Aston Villa W,0,4.126018,3.0,1.0,0.0,0.0,4,1.0,0.0,0.0,85.2,0.1,97.3,19.9,12.099999999999994,0.0,0.375,2.93260960083063
3912592,102,60,Aston Villa W,Manchester United W,0,58.353127,13.0,15.0,1.0,2.0,17,19.0,0.0,1.0,33.8,64.1,15.2,38.7,-18.599999999999998,1.0,0.21666666666666667,-0.31874898495156906
3912592,103,29,Aston Villa W,Aston Villa W,0,23.057289,9.0,3.0,0.0,0.0,13,5.0,0.0,0.0,14.4,31.9,2.4,38.3,-12.0,0.0,0.3103448275862069,-0.5204427979369127
3912592,104,11,Manchester United W,Aston Villa W,0,4.78619,4.0,1.0,0.0,0.0,5,3.0,0.0,0.0,7.0,36.1,90.3,1.6,83.3,0.0,0.36363636363636365,17.40424011583326
3912592,105,37,Aston Villa W,Aston Villa W,0,35.870399,11.0,10.0,0.0,0.0,11,4.0,0.0,0.0,35.8,80.0,86.7,64.6,50.900000000000006,0.0,0.2972972972972973,1.4189973186526308
3912592,106,29,Manchester United W,Aston Villa W,0,18.546005,4.0,7.0,2.0,1.0,11,10.0,1.0,1.0,84.7,67.1,1.8,41.6,-82.9,2.0,0.13793103448275862,-4.469965364508421
3912592,107,17,Aston Villa W,Manchester United W,0,12.544425,5.0,4.0,0.0,0.0,7,6.0,0.0,0.0,6.0,44.0,99.3,78.5,93.3,0.0,0.29411764705882354,7.437566887282597
3912592,108,10,Manchester United W,Manchester United W,0,13.440411003,3.0,2.0,0.0,0.0,4,2.0,1.0,0.0,21.7,0.1,70.1,3.3,48.39999999999999,1.0,0.3,3.601080353063366
3912592,109,12,Aston Villa W,Aston Villa W,0,5.529084,3.0,2.0,1.0,0.0,4,4.0,0.0,0.0,42.4,80.0,54.7,66.6,12.300000000000004,0.0,0.25,2.2245999518184214
3912592,110,12,Aston Villa W,Manchester United W,0,5.923477,2.0,1.0,0.0,0.0,7,2.0,0.0,0.0,66.5,12.0,58.0,79.0,-8.5,0.0,0.16666666666666666,-1.4349680094984754
3912592,111,44,Manchester United W,Manchester United W,0,54.699674,14.0,10.0,0.0,0.0,15,4.0,0.0,0.0,54.2,0.1,66.5,65.1,12.299999999999997,0.0,0.3181818181818182,0.2248642286241047
3912592,112,64,Aston Villa W,Aston Villa W,0,50.675654,12.0,16.0,4.0,2.0,15,20.0,0.0,0.0,54.1,8.9,33.3,76.5,-20.800000000000004,0.0,0.1875,-0.41045350889798093
3912592,113,1,Manchester United W,Manchester United W,0,5.224922,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,81.3,0.1,81.3,0.1,0.0,0.0,1.0,0.0
3912592,114,26,Aston Villa W,Aston Villa W,0,27.662505,7.0,7.0,0.0,0.0,12,6.0,0.0,0.0,8.1,66.6,100.0,45.2,91.9,0.0,0.2692307692307692,3.322186475881342
3912592,115,4,Aston Villa W,Manchester United W,0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,11.9,48.2,11.9,48.2,0.0,0.0,0.0,
3912592,116,1,Manchester United W,Manchester United W,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,23.8,52.3,23.8,52.3,0.0,0.0,0.0,
3912592,117,1,Aston Villa W,Aston Villa W,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,96.3,27.8,96.3,27.8,0.0,0.0,0.0,
3912592,118,17,Manchester United W,Manchester United W,0,20.240284,5.0,3.0,0.0,0.0,6,3.0,0.0,0.0,23.8,52.3,44.1,21.2,20.3,0.0,0.29411764705882354,1.0029503538586713
3912592,119,28,Aston Villa W,Aston Villa W,0,25.237408,8.0,6.0,0.0,0.0,11,4.0,0.0,0.0,73.3,58.9,10.2,51.8,-63.099999999999994,0.0,0.2857142857142857,-2.5002567617086506
